"Row","Imbalance_Ratio","Sample_Size","Balance_Method","Model_Type","Threshold","Accuracy","Precision","Recall","F1_Score","TP","TN","FP","FN"
1,0.05,1000,"None","Logistic",0.3,0.95,0,0,0,0,285,0,15
2,0.05,1000,"None","Logistic",0.4,0.95,0,0,0,0,285,0,15
3,0.05,1000,"None","Logistic",0.5,0.95,0,0,0,0,285,0,15
4,0.05,1000,"None","Logistic",0.6,0.95,0,0,0,0,285,0,15
5,0.05,1000,"None","Logistic",0.7,0.95,0,0,0,0,285,0,15
6,0.05,1000,"None","DecisionTree",0.3,0.9367,0,0,0,0,281,4,15
7,0.05,1000,"None","DecisionTree",0.4,0.9367,0,0,0,0,281,4,15
8,0.05,1000,"None","DecisionTree",0.5,0.9367,0,0,0,0,281,4,15
9,0.05,1000,"None","DecisionTree",0.6,0.9367,0,0,0,0,281,4,15
10,0.05,1000,"None","DecisionTree",0.7,0.9367,0,0,0,0,281,4,15
11,0.05,1000,"Undersample","Logistic",0.3,0.4133,0.0503,0.6,0.0928,9,115,170,6
12,0.05,1000,"Undersample","Logistic",0.4,0.5633,0.0397,0.3333,0.0709,5,164,121,10
13,0.05,1000,"Undersample","Logistic",0.5,0.6933,0.0127,0.0667,0.0213,1,207,78,14
14,0.05,1000,"Undersample","Logistic",0.6,0.7767,0.0185,0.0667,0.029,1,232,53,14
15,0.05,1000,"Undersample","Logistic",0.7,0.8467,0.0303,0.0667,0.0417,1,253,32,14
16,0.05,1000,"Undersample","DecisionTree",0.3,0.7767,0.0806,0.3333,0.1298,5,228,57,10
17,0.05,1000,"Undersample","DecisionTree",0.4,0.7767,0.0806,0.3333,0.1298,5,228,57,10
18,0.05,1000,"Undersample","DecisionTree",0.5,0.7767,0.0806,0.3333,0.1298,5,228,57,10
19,0.05,1000,"Undersample","DecisionTree",0.6,0.7767,0.0806,0.3333,0.1298,5,228,57,10
20,0.05,1000,"Undersample","DecisionTree",0.7,0.7767,0.0806,0.3333,0.1298,5,228,57,10
21,0.05,1000,"SMOTE","Logistic",0.3,0.4233,0.0611,0.7333,0.1128,11,116,169,4
22,0.05,1000,"SMOTE","Logistic",0.4,0.6667,0.0619,0.4,0.1072,6,194,91,9
23,0.05,1000,"SMOTE","Logistic",0.5,0.8267,0.0488,0.1333,0.0714,2,246,39,13
24,0.05,1000,"SMOTE","Logistic",0.6,0.92,0.0909,0.0667,0.0769,1,275,10,14
25,0.05,1000,"SMOTE","Logistic",0.7,0.9467,0,0,0,0,284,1,15
26,0.05,1000,"SMOTE","DecisionTree",0.3,0.9367,0,0,0,0,281,4,15
27,0.05,1000,"SMOTE","DecisionTree",0.4,0.9367,0,0,0,0,281,4,15
28,0.05,1000,"SMOTE","DecisionTree",0.5,0.9367,0,0,0,0,281,4,15
29,0.05,1000,"SMOTE","DecisionTree",0.6,0.9367,0,0,0,0,281,4,15
30,0.05,1000,"SMOTE","DecisionTree",0.7,0.9367,0,0,0,0,281,4,15
31,0.05,2000,"None","Logistic",0.3,0.95,0,0,0,0,570,0,30
32,0.05,2000,"None","Logistic",0.4,0.95,0,0,0,0,570,0,30
33,0.05,2000,"None","Logistic",0.5,0.95,0,0,0,0,570,0,30
34,0.05,2000,"None","Logistic",0.6,0.95,0,0,0,0,570,0,30
35,0.05,2000,"None","Logistic",0.7,0.95,0,0,0,0,570,0,30
36,0.05,2000,"None","DecisionTree",0.3,0.9417,0,0,0,0,565,5,30
37,0.05,2000,"None","DecisionTree",0.4,0.9417,0,0,0,0,565,5,30
38,0.05,2000,"None","DecisionTree",0.5,0.9417,0,0,0,0,565,5,30
39,0.05,2000,"None","DecisionTree",0.6,0.9417,0,0,0,0,565,5,30
40,0.05,2000,"None","DecisionTree",0.7,0.9417,0,0,0,0,565,5,30
41,0.05,2000,"Undersample","Logistic",0.3,0.1517,0.049,0.8667,0.0928,26,65,505,4
42,0.05,2000,"Undersample","Logistic",0.4,0.3583,0.0366,0.4667,0.0679,14,201,369,16
43,0.05,2000,"Undersample","Logistic",0.5,0.6617,0.0324,0.2,0.0558,6,391,179,24
44,0.05,2000,"Undersample","Logistic",0.6,0.88,0.0625,0.1,0.0769,3,525,45,27
45,0.05,2000,"Undersample","Logistic",0.7,0.94,0,0,0,0,564,6,30
46,0.05,2000,"Undersample","DecisionTree",0.3,0.4517,0.0343,0.3667,0.0627,11,260,310,19
47,0.05,2000,"Undersample","DecisionTree",0.4,0.4517,0.0343,0.3667,0.0627,11,260,310,19
48,0.05,2000,"Undersample","DecisionTree",0.5,0.4517,0.0343,0.3667,0.0627,11,260,310,19
49,0.05,2000,"Undersample","DecisionTree",0.6,0.4517,0.0343,0.3667,0.0627,11,260,310,19
50,0.05,2000,"Undersample","DecisionTree",0.7,0.4517,0.0343,0.3667,0.0627,11,260,310,19
51,0.05,2000,"SMOTE","Logistic",0.3,0.285,0.0328,0.4667,0.0613,14,157,413,16
52,0.05,2000,"SMOTE","Logistic",0.4,0.54,0.0341,0.3,0.0612,9,315,255,21
53,0.05,2000,"SMOTE","Logistic",0.5,0.7817,0.0531,0.2,0.0839,6,463,107,24
54,0.05,2000,"SMOTE","Logistic",0.6,0.9083,0.037,0.0333,0.0351,1,544,26,29
55,0.05,2000,"SMOTE","Logistic",0.7,0.95,0.5,0.0333,0.0624,1,569,1,29
56,0.05,2000,"SMOTE","DecisionTree",0.3,0.95,0,0,0,0,570,0,30
57,0.05,2000,"SMOTE","DecisionTree",0.4,0.95,0,0,0,0,570,0,30
58,0.05,2000,"SMOTE","DecisionTree",0.5,0.95,0,0,0,0,570,0,30
59,0.05,2000,"SMOTE","DecisionTree",0.6,0.95,0,0,0,0,570,0,30
60,0.05,2000,"SMOTE","DecisionTree",0.7,0.95,0,0,0,0,570,0,30
61,0.05,3000,"None","Logistic",0.3,0.95,0,0,0,0,855,0,45
62,0.05,3000,"None","Logistic",0.4,0.95,0,0,0,0,855,0,45
63,0.05,3000,"None","Logistic",0.5,0.95,0,0,0,0,855,0,45
64,0.05,3000,"None","Logistic",0.6,0.95,0,0,0,0,855,0,45
65,0.05,3000,"None","Logistic",0.7,0.95,0,0,0,0,855,0,45
66,0.05,3000,"None","DecisionTree",0.3,0.95,0,0,0,0,855,0,45
67,0.05,3000,"None","DecisionTree",0.4,0.95,0,0,0,0,855,0,45
68,0.05,3000,"None","DecisionTree",0.5,0.95,0,0,0,0,855,0,45
69,0.05,3000,"None","DecisionTree",0.6,0.95,0,0,0,0,855,0,45
70,0.05,3000,"None","DecisionTree",0.7,0.95,0,0,0,0,855,0,45
71,0.05,3000,"Undersample","Logistic",0.3,0.1933,0.0514,0.8667,0.097,39,135,720,6
72,0.05,3000,"Undersample","Logistic",0.4,0.5167,0.0486,0.4667,0.088,21,444,411,24
73,0.05,3000,"Undersample","Logistic",0.5,0.7878,0.0549,0.2,0.0862,9,700,155,36
74,0.05,3000,"Undersample","Logistic",0.6,0.8722,0.027,0.0444,0.0336,2,783,72,43
75,0.05,3000,"Undersample","Logistic",0.7,0.8967,0.0385,0.0444,0.0412,2,805,50,43
76,0.05,3000,"Undersample","DecisionTree",0.3,0.5556,0.0551,0.4889,0.099,22,478,377,23
77,0.05,3000,"Undersample","DecisionTree",0.4,0.5556,0.0551,0.4889,0.099,22,478,377,23
78,0.05,3000,"Undersample","DecisionTree",0.5,0.5556,0.0551,0.4889,0.099,22,478,377,23
79,0.05,3000,"Undersample","DecisionTree",0.6,0.5556,0.0551,0.4889,0.099,22,478,377,23
80,0.05,3000,"Undersample","DecisionTree",0.7,0.5556,0.0551,0.4889,0.099,22,478,377,23
81,0.05,3000,"SMOTE","Logistic",0.3,0.1556,0.0514,0.9111,0.0973,41,99,756,4
82,0.05,3000,"SMOTE","Logistic",0.4,0.4567,0.0469,0.5111,0.0859,23,388,467,22
83,0.05,3000,"SMOTE","Logistic",0.5,0.6867,0.0528,0.3111,0.0903,14,604,251,31
84,0.05,3000,"SMOTE","Logistic",0.6,0.8411,0.0545,0.1333,0.0774,6,751,104,39
85,0.05,3000,"SMOTE","Logistic",0.7,0.9044,0.0233,0.0222,0.0227,1,813,42,44
86,0.05,3000,"SMOTE","DecisionTree",0.3,0.9367,0.0714,0.0222,0.0339,1,842,13,44
87,0.05,3000,"SMOTE","DecisionTree",0.4,0.9367,0.0714,0.0222,0.0339,1,842,13,44
88,0.05,3000,"SMOTE","DecisionTree",0.5,0.9367,0.0714,0.0222,0.0339,1,842,13,44
89,0.05,3000,"SMOTE","DecisionTree",0.6,0.9367,0.0714,0.0222,0.0339,1,842,13,44
90,0.05,3000,"SMOTE","DecisionTree",0.7,0.9367,0.0714,0.0222,0.0339,1,842,13,44
91,0.05,5000,"None","Logistic",0.3,0.95,0,0,0,0,1425,0,75
92,0.05,5000,"None","Logistic",0.4,0.95,0,0,0,0,1425,0,75
93,0.05,5000,"None","Logistic",0.5,0.95,0,0,0,0,1425,0,75
94,0.05,5000,"None","Logistic",0.6,0.95,0,0,0,0,1425,0,75
95,0.05,5000,"None","Logistic",0.7,0.95,0,0,0,0,1425,0,75
96,0.05,5000,"None","DecisionTree",0.3,0.95,0,0,0,0,1425,0,75
97,0.05,5000,"None","DecisionTree",0.4,0.95,0,0,0,0,1425,0,75
98,0.05,5000,"None","DecisionTree",0.5,0.95,0,0,0,0,1425,0,75
99,0.05,5000,"None","DecisionTree",0.6,0.95,0,0,0,0,1425,0,75
100,0.05,5000,"None","DecisionTree",0.7,0.95,0,0,0,0,1425,0,75
101,0.05,5000,"Undersample","Logistic",0.3,0.1927,0.0513,0.8667,0.0969,65,224,1201,10
102,0.05,5000,"Undersample","Logistic",0.4,0.4493,0.0514,0.5733,0.0943,43,631,794,32
103,0.05,5000,"Undersample","Logistic",0.5,0.7333,0.0596,0.2933,0.0991,22,1078,347,53
104,0.05,5000,"Undersample","Logistic",0.6,0.892,0.0323,0.04,0.0357,3,1335,90,72
105,0.05,5000,"Undersample","Logistic",0.7,0.9393,0.0556,0.0133,0.0215,1,1408,17,74
106,0.05,5000,"Undersample","DecisionTree",0.3,0.5067,0.0488,0.48,0.0886,36,724,701,39
107,0.05,5000,"Undersample","DecisionTree",0.4,0.5067,0.0488,0.48,0.0886,36,724,701,39
108,0.05,5000,"Undersample","DecisionTree",0.5,0.5067,0.0488,0.48,0.0886,36,724,701,39
109,0.05,5000,"Undersample","DecisionTree",0.6,0.5067,0.0488,0.48,0.0886,36,724,701,39
110,0.05,5000,"Undersample","DecisionTree",0.7,0.5067,0.0488,0.48,0.0886,36,724,701,39
111,0.05,5000,"SMOTE","Logistic",0.3,0.1187,0.0498,0.92,0.0945,69,109,1316,6
112,0.05,5000,"SMOTE","Logistic",0.4,0.4173,0.0526,0.6267,0.0971,47,579,846,28
113,0.05,5000,"SMOTE","Logistic",0.5,0.7507,0.0564,0.2533,0.0923,19,1107,318,56
114,0.05,5000,"SMOTE","Logistic",0.6,0.9053,0.0411,0.04,0.0405,3,1355,70,72
115,0.05,5000,"SMOTE","Logistic",0.7,0.948,0,0,0,0,1422,3,75
116,0.05,5000,"SMOTE","DecisionTree",0.3,0.9367,0.0455,0.0133,0.0206,1,1404,21,74
117,0.05,5000,"SMOTE","DecisionTree",0.4,0.9367,0.0455,0.0133,0.0206,1,1404,21,74
118,0.05,5000,"SMOTE","DecisionTree",0.5,0.9367,0.0455,0.0133,0.0206,1,1404,21,74
119,0.05,5000,"SMOTE","DecisionTree",0.6,0.9367,0.0455,0.0133,0.0206,1,1404,21,74
120,0.05,5000,"SMOTE","DecisionTree",0.7,0.95,0,0,0,0,1425,0,75
121,0.1,1000,"None","Logistic",0.3,0.9,0,0,0,0,270,0,30
122,0.1,1000,"None","Logistic",0.4,0.9,0,0,0,0,270,0,30
123,0.1,1000,"None","Logistic",0.5,0.9,0,0,0,0,270,0,30
124,0.1,1000,"None","Logistic",0.6,0.9,0,0,0,0,270,0,30
125,0.1,1000,"None","Logistic",0.7,0.9,0,0,0,0,270,0,30
126,0.1,1000,"None","DecisionTree",0.3,0.8933,0,0,0,0,268,2,30
127,0.1,1000,"None","DecisionTree",0.4,0.8933,0,0,0,0,268,2,30
128,0.1,1000,"None","DecisionTree",0.5,0.8933,0,0,0,0,268,2,30
129,0.1,1000,"None","DecisionTree",0.6,0.8933,0,0,0,0,268,2,30
130,0.1,1000,"None","DecisionTree",0.7,0.8933,0,0,0,0,268,2,30
131,0.1,1000,"Undersample","Logistic",0.3,0.1167,0.0962,0.9333,0.1744,28,7,263,2
132,0.1,1000,"Undersample","Logistic",0.4,0.23,0.083,0.6667,0.1476,20,49,221,10
133,0.1,1000,"Undersample","Logistic",0.5,0.54,0.097,0.4333,0.1585,13,149,121,17
134,0.1,1000,"Undersample","Logistic",0.6,0.7733,0.087,0.1333,0.1053,4,228,42,26
135,0.1,1000,"Undersample","Logistic",0.7,0.8933,0.25,0.0333,0.0588,1,267,3,29
136,0.1,1000,"Undersample","DecisionTree",0.3,0.35,0.0812,0.5333,0.1409,16,89,181,14
137,0.1,1000,"Undersample","DecisionTree",0.4,0.35,0.0812,0.5333,0.1409,16,89,181,14
138,0.1,1000,"Undersample","DecisionTree",0.5,0.35,0.0812,0.5333,0.1409,16,89,181,14
139,0.1,1000,"Undersample","DecisionTree",0.6,0.35,0.0812,0.5333,0.1409,16,89,181,14
140,0.1,1000,"Undersample","DecisionTree",0.7,0.35,0.0812,0.5333,0.1409,16,89,181,14
141,0.1,1000,"SMOTE","Logistic",0.3,0.1433,0.0961,0.9,0.1737,27,16,254,3
142,0.1,1000,"SMOTE","Logistic",0.4,0.42,0.0909,0.5333,0.1553,16,110,160,14
143,0.1,1000,"SMOTE","Logistic",0.5,0.7933,0.1667,0.2667,0.2052,8,230,40,22
144,0.1,1000,"SMOTE","Logistic",0.6,0.89,0,0,0,0,267,3,30
145,0.1,1000,"SMOTE","Logistic",0.7,0.9,0,0,0,0,270,0,30
146,0.1,1000,"SMOTE","DecisionTree",0.3,0.9,0,0,0,0,270,0,30
147,0.1,1000,"SMOTE","DecisionTree",0.4,0.9,0,0,0,0,270,0,30
148,0.1,1000,"SMOTE","DecisionTree",0.5,0.9,0,0,0,0,270,0,30
149,0.1,1000,"SMOTE","DecisionTree",0.6,0.9,0,0,0,0,270,0,30
150,0.1,1000,"SMOTE","DecisionTree",0.7,0.9,0,0,0,0,270,0,30
151,0.1,2000,"None","Logistic",0.3,0.9,0,0,0,0,540,0,60
152,0.1,2000,"None","Logistic",0.4,0.9,0,0,0,0,540,0,60
153,0.1,2000,"None","Logistic",0.5,0.9,0,0,0,0,540,0,60
154,0.1,2000,"None","Logistic",0.6,0.9,0,0,0,0,540,0,60
155,0.1,2000,"None","Logistic",0.7,0.9,0,0,0,0,540,0,60
156,0.1,2000,"None","DecisionTree",0.3,0.9,0,0,0,0,540,0,60
157,0.1,2000,"None","DecisionTree",0.4,0.9,0,0,0,0,540,0,60
158,0.1,2000,"None","DecisionTree",0.5,0.9,0,0,0,0,540,0,60
159,0.1,2000,"None","DecisionTree",0.6,0.9,0,0,0,0,540,0,60
160,0.1,2000,"None","DecisionTree",0.7,0.9,0,0,0,0,540,0,60
161,0.1,2000,"Undersample","Logistic",0.3,0.1617,0.0965,0.8833,0.174,53,44,496,7
162,0.1,2000,"Undersample","Logistic",0.4,0.375,0.0951,0.6167,0.1648,37,188,352,23
163,0.1,2000,"Undersample","Logistic",0.5,0.6733,0.118,0.35,0.1765,21,383,157,39
164,0.1,2000,"Undersample","Logistic",0.6,0.8233,0.04,0.0333,0.0363,2,492,48,58
165,0.1,2000,"Undersample","Logistic",0.7,0.895,0,0,0,0,537,3,60
166,0.1,2000,"Undersample","DecisionTree",0.3,0.6483,0.0585,0.1667,0.0866,10,379,161,50
167,0.1,2000,"Undersample","DecisionTree",0.4,0.6483,0.0585,0.1667,0.0866,10,379,161,50
168,0.1,2000,"Undersample","DecisionTree",0.5,0.6483,0.0585,0.1667,0.0866,10,379,161,50
169,0.1,2000,"Undersample","DecisionTree",0.6,0.6483,0.0585,0.1667,0.0866,10,379,161,50
170,0.1,2000,"Undersample","DecisionTree",0.7,0.8767,0.15,0.05,0.075,3,523,17,57
171,0.1,2000,"SMOTE","Logistic",0.3,0.25,0.0988,0.8,0.1759,48,102,438,12
172,0.1,2000,"SMOTE","Logistic",0.4,0.45,0.0982,0.55,0.1666,33,237,303,27
173,0.1,2000,"SMOTE","Logistic",0.5,0.6617,0.0914,0.2667,0.1361,16,381,159,44
174,0.1,2000,"SMOTE","Logistic",0.6,0.8117,0.0923,0.1,0.096,6,481,59,54
175,0.1,2000,"SMOTE","Logistic",0.7,0.8817,0.0769,0.0167,0.0274,1,528,12,59
176,0.1,2000,"SMOTE","DecisionTree",0.3,0.7317,0.096,0.2,0.1297,12,427,113,48
177,0.1,2000,"SMOTE","DecisionTree",0.4,0.8783,0.0667,0.0167,0.0267,1,526,14,59
178,0.1,2000,"SMOTE","DecisionTree",0.5,0.8783,0.0667,0.0167,0.0267,1,526,14,59
179,0.1,2000,"SMOTE","DecisionTree",0.6,0.8783,0.0667,0.0167,0.0267,1,526,14,59
180,0.1,2000,"SMOTE","DecisionTree",0.7,0.8783,0.0667,0.0167,0.0267,1,526,14,59
181,0.1,3000,"None","Logistic",0.3,0.9,0,0,0,0,810,0,90
182,0.1,3000,"None","Logistic",0.4,0.9,0,0,0,0,810,0,90
183,0.1,3000,"None","Logistic",0.5,0.9,0,0,0,0,810,0,90
184,0.1,3000,"None","Logistic",0.6,0.9,0,0,0,0,810,0,90
185,0.1,3000,"None","Logistic",0.7,0.9,0,0,0,0,810,0,90
186,0.1,3000,"None","DecisionTree",0.3,0.9,0,0,0,0,810,0,90
187,0.1,3000,"None","DecisionTree",0.4,0.9,0,0,0,0,810,0,90
188,0.1,3000,"None","DecisionTree",0.5,0.9,0,0,0,0,810,0,90
189,0.1,3000,"None","DecisionTree",0.6,0.9,0,0,0,0,810,0,90
190,0.1,3000,"None","DecisionTree",0.7,0.9,0,0,0,0,810,0,90
191,0.1,3000,"Undersample","Logistic",0.3,0.1222,0.1023,1,0.1856,90,20,790,0
192,0.1,3000,"Undersample","Logistic",0.4,0.4456,0.109,0.6333,0.186,57,344,466,33
193,0.1,3000,"Undersample","Logistic",0.5,0.7111,0.1171,0.2889,0.1667,26,614,196,64
194,0.1,3000,"Undersample","Logistic",0.6,0.8733,0.1,0.0333,0.05,3,783,27,87
195,0.1,3000,"Undersample","Logistic",0.7,0.8978,0,0,0,0,808,2,90
196,0.1,3000,"Undersample","DecisionTree",0.3,0.4022,0.1151,0.7444,0.1994,67,295,515,23
197,0.1,3000,"Undersample","DecisionTree",0.4,0.53,0.1172,0.5667,0.1942,51,426,384,39
